,season,date,home_team,away_team,home_score,away_score,status
0,2022-2023,20221001,Milwaukee Bucks,Memphis Grizzlies,102,107,Final
1,2022-2023,20221001,Golden State Warriors,Washington Wizards,104,95,Final
2,2022-2023,20221002,Boston Celtics,Charlotte Hornets,134,93,Final
3,2022-2023,20221002,Toronto Raptors,Utah Jazz,114,82,Final
4,2022-2023,20221002,Houston Rockets,San Antonio Spurs,134,96,Final
5,2022-2023,20221002,Phoenix Suns,ADELAIDE 36ers,124,134,Final
6,2022-2023,20221003,Brooklyn Nets,Philadelphia 76ers,108,127,Final
7,2022-2023,20221003,Memphis Grizzlies,Orlando Magic,109,97,Final
8,2022-2023,20221003,Denver Nuggets,Oklahoma City Thunder,101,112,Final
9,2022-2023,20221003,Los Angeles Lakers,Sacramento Kings,75,105,Final
10,2022-2023,20221003,LA Clippers,Portland Trail Blazers,102,97,Final
11,2022-2023,20221004,New York Knicks,Detroit Pistons,117,96,Final
12,2022-2023,20221004,Miami Heat,Minnesota Timberwolves,111,121,Final
13,2022-2023,20221004,Chicago Bulls,New Orleans Pelicans,125,129,Final
14,2022-2023,20221004,Portland Trail Blazers,Utah Jazz,101,118,Final
15,2022-2023,20221005,Charlotte Hornets,Indiana Pacers,97,122,Final
16,2022-2023,20221005,Philadelphia 76ers,Cleveland Cavaliers,113,112,Final
17,2022-2023,20221005,Boston Celtics,Toronto Raptors,119,125,Final
18,2022-2023,20221005,Oklahoma City Thunder,Dallas Mavericks,96,98,Final
19,2022-2023,20221005,Los Angeles Lakers,Phoenix Suns,115,119,Final
